Date,Open,High,Low,Close,Adj Close,Volume
2020-06-02,21180.0,21340.0,20952.650390625,21201.0,21155.703125,42170
2020-06-03,21544.0,21740.0,21251.0,21630.099609375,21583.88671875,49111
2020-06-04,21611.0,21869.5,21067.400390625,21396.650390625,21350.935546875,43072
2020-06-05,21500.0,22430.0,21500.0,22089.599609375,22042.404296875,55227
2020-06-08,22117.75,22296.5,21000.0,21180.900390625,21135.646484375,73282
2020-06-09,21535.94921875,21585.0,20908.80078125,21009.80078125,20964.912109375,64086
2020-06-10,21171.05078125,21611.05078125,21149.849609375,21513.30078125,21467.337890625,49867
2020-06-11,21648.0,21648.0,21204.5,21251.19921875,21205.794921875,49993
2020-06-12,20700.0,23137.25,20700.0,22392.650390625,22344.80859375,147217
2020-06-15,22260.0,22361.05078125,21750.0,22117.25,22069.99609375,99776
2020-06-16,22291.69921875,22539.94921875,21800.0,22111.30078125,22064.05859375,70316
2020-06-17,21978.0,22079.5,21514.30078125,21635.400390625,21589.17578125,70852
2020-06-18,21718.0,21998.94921875,21410.0,21866.099609375,21819.3828125,83639
2020-06-19,21840.0,21930.0,21566.44921875,21678.94921875,21632.630859375,64309
2020-06-22,21710.0,22199.94921875,21530.05078125,22017.599609375,21970.55859375,97692
2020-06-23,22100.0,22943.099609375,22050.0,22756.25,22707.630859375,56193
2020-06-24,22750.0,23068.0,22330.0,22566.25,22518.037109375,67022
2020-06-25,22495.0,22619.099609375,21889.0,22068.80078125,22021.650390625,47016
2020-06-26,22111.0,22700.0,21863.400390625,22523.849609375,22475.7265625,56262
2020-06-29,22450.0,22483.849609375,21927.599609375,22341.94921875,22294.21484375,49397
2020-06-30,22353.849609375,23330.0,22341.94921875,23051.05078125,23001.80078125,102429
2020-07-01,22814.349609375,23215.0,22516.80078125,22663.5,22615.078125,71638
2020-07-02,22850.0,22950.0,22511.0,22762.849609375,22714.216796875,42084
2020-07-03,22985.0,22987.55078125,22737.55078125,22872.650390625,22823.783203125,31513
2020-07-06,22879.0,23215.0,22850.75,23111.150390625,23061.7734375,84877
2020-07-07,23072.5,23087.650390625,22656.0,22824.099609375,22775.3359375,41646
2020-07-08,22900.0,23050.0,22345.94921875,22439.80078125,22391.857421875,57101
2020-07-09,22622.0,22915.0,22380.19921875,22803.599609375,22754.87890625,48256
2020-07-10,22799.0,22799.0,22182.19921875,22295.400390625,22247.765625,44546
2020-07-13,22460.0,22627.849609375,22250.0,22311.19921875,22263.53125,52261
2020-07-14,22388.0,22394.80078125,21710.44921875,22085.75,22038.5625,61251
2020-07-15,22101.0,22274.0,21750.0,21843.25,21796.58203125,48201
2020-07-16,22031.900390625,22031.900390625,21250.0,21731.099609375,21684.669921875,42359
2020-07-17,21731.099609375,22400.0,21606.0,22269.94921875,22222.369140625,38076
2020-07-20,22325.05078125,22399.900390625,22007.30078125,22266.099609375,22218.52734375,38325
2020-07-21,22495.0,22810.0,22260.150390625,22440.75,22392.8046875,73590
2020-07-22,22500.0,22534.900390625,21919.30078125,21979.44921875,21932.490234375,44685
2020-07-23,22023.0,22129.44921875,21501.0,21568.150390625,21522.0703125,69557
2020-07-24,21547.099609375,21600.0,21160.0,21332.75,21287.171875,58308
2020-07-27,21449.94921875,21590.0,21015.94921875,21113.849609375,21068.740234375,61731
2020-07-28,21147.0,22020.0,21110.0,21915.75,21868.92578125,96902
2020-07-29,21696.599609375,22200.0,21624.0,21743.650390625,21697.1953125,65343
2020-07-30,21845.0,22025.0,21300.0,21395.099609375,21349.388671875,51697
2020-07-31,21395.5,21890.0,21350.0,21711.150390625,21664.763671875,50697
2020-08-03,21670.05078125,21864.05078125,21490.0,21747.25,21700.787109375,29527
